Air submersion.                                                               19-09-2019
                                                                                       |
e: Nuclide-specific effective dose rate coefficient          (nSv h-1 Bq-1 m3)         |
h: Nuclide-specific ambient dose equivalent rate coefficient (nSv h-1 Bq-1 m3)         |
k: Nuclide-specific air kerma free in air rate coefficient   (nGy h-1 Bq-1 m3)         |
----------------------------------------------------------------------------------------
                e                                                     h        k       |
Nuclide             Adult    15 yr    10 yr     5 yr     1 yr  Newborn                 |
----------------------------------------------------------------------------------------
Ac-223           2.31E-03 2.44E-03 2.53E-03 2.71E-03 2.81E-03 2.93E-03 5.20E-03 3.86E-03
Ac-224           2.85E-02 3.03E-02 3.16E-02 3.39E-02 3.53E-02 3.69E-02 6.82E-02 4.54E-02
Ac-225           1.71E-03 1.82E-03 1.90E-03 2.05E-03 2.15E-03 2.25E-03 4.27E-03 3.41E-03
Ac-226           1.78E-02 1.89E-02 1.96E-02 2.09E-02 2.15E-02 2.26E-02 3.98E-02 2.70E-02
Ac-227           1.20E-05 1.28E-05 1.37E-05 1.54E-05 1.63E-05 2.00E-05 6.93E-05 1.74E-04
Ac-228           1.40E-01 1.46E-01 1.48E-01 1.55E-01 1.60E-01 1.68E-01 2.46E-01 1.95E-01
Ac-230           9.49E-02 9.84E-02 1.00E-01 1.05E-01 1.09E-01 1.16E-01 1.53E-01 1.26E-01
Ac-231           5.91E-02 6.23E-02 6.47E-02 6.90E-02 7.10E-02 7.46E-02 1.26E-01 8.74E-02
Ac-232           2.01E-01 2.09E-01 2.12E-01 2.21E-01 2.27E-01 2.41E-01 3.22E-01 2.67E-01
Ac-233           7.74E-02 7.93E-02 8.29E-02 8.78E-02 9.15E-02 9.71E-02 1.45E-01 1.09E-01
Ag-100m          4.66E-01 4.84E-01 5.01E-01 5.25E-01 5.46E-01 5.78E-01 8.07E-01 6.36E-01
Ag-101           2.45E-01 2.54E-01 2.62E-01 2.77E-01 2.86E-01 3.02E-01 4.53E-01 3.47E-01
Ag-102           5.56E-01 5.77E-01 5.88E-01 6.17E-01 6.35E-01 6.68E-01 9.65E-01 7.68E-01
Ag-102m          3.41E-01 3.54E-01 3.58E-01 3.75E-01 3.82E-01 4.01E-01 5.57E-01 4.55E-01
